January - December 2015,Income,TOTAL
1 Gallon PaintCare Fees,0,0
Misc. Income,5300,5300
PaintCare Fees,8591.1,8591.1
Recycling,367233.52,367233.52
Refunds-Allowances,-198.75,198.75
Sales,37323.97,37323.97
Transport Income,145,145
Uncategorized Income,0,0
Wholesale Sales,447619.94,447619.94
Total Income,866014.78,866014.78
"Cost of Goods Sold
Contract Labor",17459.58,17459.58
Cost of Goods Sold,105443.93,105443.93
Cost of labor - COS,193932.64,193932.64
Equipment Rental & Repair,3586.51,3586.51
"Shipping, Delivery Expense",37984.52,37984.52
Total Cost of Goods Sold,358407.18,358407.18
GROSS PROFIT,507607.6,507607.6
"Expenses
Advertising",6074.73,6074.73
Auto Expense,23779.35,23779.35
Bank Charges,183.89,183.89
Bank Fees,194.4,194.4
Point of Sale Fee,3210.63,3210.63
QuickBooks Payments Fees,0,0
Total Bank Charges,3588.92,3588.92
Charitable Contribution,3504.96,3504.96
Depreciation Expense,110797,110797
Dues & Subscriptions,1725,1725
Insurance,,0
Auto,6805.4,6805.4
Health,9821.83,9821.83
Total Insurance,16627.23,16627.23
Legal & Professional Fees,5142.29,5142.29
Meals and Entertainment,33519.28,33519.28
Office Expenses,7855.08,7855.08
Computer and Internet,532.53,532.53
Office Supplies,2698.09,2698.09
Rent or Lease,13655.82,13655.82
Repair & Maintenance,0,0
Stationery & Printing,2590,2590
Telephone,3608.17,3608.17
Utilities,11679.69,11679.69
Total Office Expenses,42619.38,42619.38
Outside Labor,0,0
Payroll Expenses,-255451.06,255451.06
Officer Taxes,27834.7,27834.7
Officer Wages,334415.94,334415.94
Payroll Processing Fees,2679.45,2679.45
Total Payroll Expenses,109479.03,109479.03
Pension Benefit Expense,3780,3780
Pension Processing Expense,3240,3240
Supplies,0,0
Taxes & Licenses,20987.58,20987.58
Travel,17734.09,17734.09
Total Expenses,402598.84,402598.84
NET OPERATING INCOME,105008.76,105008.76
"Other Income
Interest Earned",0.18,0.18
Total Other Income,0.18,0.18
"Other Expenses
Interest Expense",1000,1000
Loss on Sale of Property,-13000,13000
Miscellaneous,0,0
Total Other Expenses,12000,12000
NET OTHER INCOME,12000.18,12000.18
NET INCOME,117008.94,117008.94
